,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
2595," International Sales and Business Development Professional

* Experienced in managing global accounts to drive revenue growth and customer satisfaction
* Strong communication and analytical skills
* Committed to continuous self-improvement

Professional Experience:

Global Account Manager (2 years of experience)

* Managed and expanded international accounts, resulting in revenue growth and improved client satisfaction
* Cultivated and maintained relationships with key stakeholders in global accounts
* Utilized strong communication skills to negotiate and close deals
* Leveraged analytical skills to identify opportunities for growth and optimization within accounts

Sales Professional (3.5 years of experience)

* Developed and maintained relationships with key clients
* Collaborated with sales teams to achieve department objectives
* Utilized strong communication and analytical skills to effectively engage with clients and drive sales

Career Goals:

* Seeking an Account Management role in an international business environment
* Interested in opportunities to drive revenue growth and customer satisfaction in global accounts
* Not interested in sales team management positions."
2597,"Product Manager & Scrum Master

* Developed and executed a successful sales strategy for a US educational platform in Australia, increasing revenue by 30% within six months.
* Managed and mentored teams of 2 to 5 members, facilitating daily scrums, sprint planning, and retrospectives.
* Prioritized product backlogs using data-driven methods, ensuring timely delivery of high-impact features.
* Collaborated with cross-functional teams, including engineering, design, and sales, to drive product development and go-to-market strategies.
* Conducted market research and competitive analysis to inform product roadmap and feature decisions.
* Implemented user testing and feedback loops to gather insights and improve user experience.
* Monitored and analyzed key product metrics to measure success and inform future product decisions.
* Stayed current with industry trends and emerging technologies, incorporating relevant advancements into product strategy and roadmap.
* Managed risks, dependencies, and trade-offs to ensure successful product delivery.
* Fostered a culture of continuous improvement, innovation, and collaboration within the team."
2645," Project Manager / E-Learning Course Developer

* Managed new workspace in Monday CRM, serving as primary point of contact for team updates
* Trained 5 interns, enabling their growth into strong team members
* Assisted 200+ clients in obtaining US bank account approvals
* Designed and launched e-learning course on grant writing using LearnWorlds.com
* Transitioned all business spreadsheets to Monday CRM, enhancing data management and workflow efficiency
* Led CRM integration and training for team members
* Provided clients with comprehensive monthly and quarterly reports, emphasizing key performance indicators and achievements
* Instituted standardized reporting process, boosting client satisfaction and retention

Underwriting Manager

* Evaluated 600+ application packages, providing constructive feedback
* Analyzed statistical data using Jarvis CRM and other specialized programs
* Onboarded approved merchants, creating and processing 95 applications
* Maintained regular communication with clients

Account Manager

* Pre-populated application packages based on clients’ documentation
* Submitted application packages to banks and coordinated with representatives for updates
* Mentored new employees on company customer management policies
* Optimized CRM workflow for improved efficiency."
2654," ---

**Experience**

**Account Manager**, Sparkybit (Germany)
07/2022 - present

* Build and maintain strong, long-lasting customer relationships
* Resolve customer complaints and prevent potential issues
* Conduct client satisfaction surveys and reviews
* Engage in regular customer meetings to enhance client loyalty and revenue growth
* Manage existing accounts, collaborating with the team to solve business and technical issues

**Account Manager**, DevPals AB (Sweden)
01/2022 – 06/2022

* Manage client communication and ensure customer success and satisfaction
* Foster trusted advisor relationships with key accounts
* Address challenging client requests or issue escalations
* Ensure timely and successful solution delivery according to customer needs
* Assist in lead generation on Upwork

**Business Sales Manager**, North-wine (Denmark)
11/2017 - 09/2021

* Identify and pursue new key customers
* Contact potential clients to present our website assistance in managing product range and display on the website
* Coordinate with existing customers to address their needs and offer suitable products
* Collaborate on a database of products, pricing management, and wine market monitoring

**Head of Logistics**, Gold.ua (Ukraine)
10/2016 – 11/2017

* Oversaw delivery at all stages and receivables across all company branches
* Filed complaints for compensation when orders were lost or damaged
* Mediated customer disputes related to timely delivery issues."
2655,"Experience with contracts
Excellent communication and soft skills
Strong relationship-building abilities with partners and colleagues
Analytical mindset, identifying cause and effect relationships
Ability to make independent decisions
Proficient in MS Office, specifically Excel
Experienced in Google Workspace
Knowledge of 1C, other accounting programs and Client-Bank system
Understanding of Scrum and Agile principles
Good business concepts comprehension
Self-motivated, committed to self-improvement and setting high goals
Punctual, detail-oriented, and responsible
Extensive experience in stress/conflict resolution

Commercial experience as a project manager (3 years)
IT project manager in a startup (1 year)

February 2021 - present: IT Start-up Project Manager
- Plan and control task execution
- Manage project scope, schedule, and budget
- Provide statistical or detailed information to management for project evaluation
- Assist team in delivering work to product owner

2020 - January 2021: OOO Interlagos Director
- Analyzed, developed, and implemented business plans in line with company goals and objectives
- Oversaw production, report analysis, and competitor analysis processes

April 2016 - May 2019: PrAT Hotel Salut HR Manager
- Sourced and attracted new staff
- Managed large amounts of information and maintained personnel records, including registration, transfer, dismissal, and work books
- Proficient in 1C 8.3 and MED program."
2656," Heading: Professional Resume

Head of Media Buying Department
Company Name
Date

* Led and managed a team of 4 media buying specialists, responsible for providing advertising resources
* Oversaw all department aspects, including planning, recruitment, interviews, quality control, salary and bonus administration for 4 months

Project Manager
Company Name
Date

* Managed a news project from planning to execution, leading a team of 8-10 employees
* Conducted recruitment, interviews, quality control, salary and bonus administration for a 3-month project

Sales / Account Manager
PAYADMIT
March 20XX - Present

* Developed and maintained relationships with key clients, resulting in increased sales and revenue
* Managed a portfolio of accounts, ensuring client satisfaction and retention
* Collaborated with cross-functional teams to develop and implement sales strategies."
2657,"Sure, here is your improved resume:

**Experience:**

* Testing: Proficient in testing, including specification analysis and re-testing.
* Web Development: Experienced in creating websites using semantic languages such as HTML, CSS, and JavaScript, with libraries including jQuery and React.
* Application Development: Understanding of application development and agile development processes.
* Project Management: Familiarity with project management tools and methodologies, and able to create Gantt charts and roadmaps.
* Mockup Creation: Participates in mockup creation.
* Invoicing and Negotiations: Handles invoicing and negotiations.

**Languages:**

* English: Fluent in English for interviewing purposes."
2658,"McCann Kyiv
Senior Account/Project Manager

• Managed projects at all stages, including TVC (local shooting), OOH, video production, and more
• Conducted tender holding, briefed vendors, and managed budgeting, payment terms, and timing control
• Collaborated with internal creative team and resources, selecting, controlling, and coordinating as needed
• Prepared daily, weekly, and monthly reports for clients and agency
• Maintained control of finance data

Cheil Ukraine
Project Manager

• Coordinated and managed projects at all stages, including TVC, OOH, Retail (POSM), digital, BTL, video adaptation, and more
• Conducted tender holding, briefed vendors, and managed budgeting, payment terms, and timing control
• Collaborated with internal agency team and resources, selecting, controlling, and coordinating as needed
• Prepared daily, weekly, and monthly reports for clients and agency
• Maintained control of finance data"
2659,"New Engineering Outsourcing Business & Project Management

* Launched a new engineering outsourcing business from scratch, acquiring new customers with diverse projects and managing growth by adding staff to existing projects
* Proficient in ITIL, Kanban, PMBoK, and BPMN frameworks
* Experienced in negotiations and sales
* Knowledgeable in regulations and business processes description
* Utilized Omnitracker, Jira, MS Project, and Visio tools for project management

Project Management Experience:

* 6+ years of project management experience in IT banking, digital marketing, aerospace, and automotive industries

Education & Language Skills:

* Master's Degree in Project Management
* IPMA certified
* Advanced Business English Diploma from the British Council (95%)
* 3 years of US on-site job experience."
2660,"Regional Director & Customer Support Manager

• Regional Director with expertise in business communications, negotiations, and team management. Current Customer Support Manager, overseeing communication with company owner, handling documentation, and managing a team of 5 support specialists.

Previous Experience:

• Sales Manager at a startup during student years, managing a team of 3 sales representatives and exceeding sales targets by 15%.
• Recruiter, gaining familiarity with the technical industry side and successfully filling 20+ positions within a year.

Recent Training:

• Completed Project Management courses, enhancing skills in project management, risk negotiation, and customer relations.

Language Skills:

• Upper-Intermediate to Advanced English proficiency

Key Skills:

• Business Communications
• Business Negotiations
• Issue Resolution
• Requirements Analysis
• Risk Management
• Conflict Resolution
• Customer Service
• Public Relations
• International/Intercultural Relations
• Recruiting
• Talent Acquisition
• Translations

Seeking positions as Project Manager, Project Coordinator, Account Manager, Business Analyst, or Business Development Manager."
