id,GPT4o
10,"          --- SummaryPassionate and dedicated designer with experience in creating intuitive mobile app interfaces, landing pages, and user-friendly web services. Proficient in optimizing user journeys through high fidelity wireframes and interactive prototypes. Strong background in advertising with a proven ability to work well in a team, adapt quickly to new tools, and incorporate feedback for continuous improvement. Skills- High fidelity wireframes- Interactive prototyping (Figma)- Responsive design adaptation- User flow mapping- Rapid design tool acquisition- Constructive feedback incorporation Professional ExperienceAgro-Industrial Group ‘Pan Kurchak’  Aug. 2021 – Present  Advertising Manager  - Social Media Management (SMM)- Managing websites- Writing product requirements documents for graphic and web designersAdvertising Agency ‘Ruden Agency’  Oct. 2020 – Sep. 2021  Social Media Manager  - Creating content plans- Writing and scheduling posts- Designing illustrations for social media Project Experience‘PAW Tracker’ Website Design  - Developed a user-friendly website focused on helping people quickly locate lost pets in specific areas through filtering options.- Applied empathy-driven design principles to create a sensitive and supportive interface.‘TableTap’ Mobile App Design  - Designed an intuitive platform for easy restaurant table selection and booking.- Conducted user research and collaborated effectively to enhance the overall dining experience. Education Certifications ObjectiveSeeking a full-time position at a company dedicated to simplifying and enhancing daily lives. Eager to bring strong learning abilities, reliability, and a hardworking attitude to a new team.---"
11,"---Professional ExperienceDepartment Director- Promoted to department director less than a year into the position.Team Member - Furry Finder- Contributed to the development of a web service for finding lost pets.- Furry Finder allows individuals who have lost or found an animal to post ads and communicate.- Collaborated with a team during training to develop this project.Web Designer - Skandi Restaurant- Redesigned the Skandi restaurant website.- Addressed readability issues, improved font selection, and streamlined menu options.- Enhanced the ""Reviews"" section to include feedback functionality.- Completed this project during academic studies.App Designer - Getshop App- Led the full cycle design of the Getshop mobile application.- Getshop is designed to help users choose and deliver gifts with ease, incorporating in-app payments.- Developed the project as part of a course.---Education- , ---Skills- Web Development- UX/UI Design- Mobile Application Development- Team Collaboration- Project Management"
12,"        --- EducationPROJECTOR Institute  - Completed Web Design Course  - Completed Mobile Application Design Course  --- Professional ExperienceGBS IT, StartUp  October 2022 - Present  - Create and invent design solutions for desktop and browser applications based on CRM system principles- Conduct market and competitor research- Collaborate and communicate consistently with customers (owners) and developers- Develop full designs from mockups to finished solutions- Create and integrate 40+ table design solutions in the application (2D and 3D formats)- Animate all transitions and active actions of the application---Upwork, Freelance  May 2022 - Present  - Developed a landing page design for PC and smartphone for a startup company producing orthopedic pillows- Conducted market research and analysis for a mobile application named Sommelier, including design and modeling. The app includes a database of alcoholic beverages, a store, and a poster for various gastronomic events- Performed in-depth analysis and research of the Paired mobile application (competitor), proposed improvement ideas, and created solution designs. Developed 2 conceptual hypotheses for changing the payment screen, described expected outcomes, and created their solution designs- Redesigned the website  - Led a team of 12 employees, handling analytics, market research, top sales statistics, and data management to improve and increase sales  --- ObjectiveAspire to expand knowledge, learn new skills, and become a successful and valuable member of the team---Skills- Web Design  - Mobile Application Design  - Market Research  - Competitor Analysis  - Team Leadership  - Sales Analytics  - Animation  ---Languages-   ---Tools and Technologies-   "
13,"Web Designer--- Skills- Interface Design: Mastered principles of designing effective interfaces; ensured optimal user interaction with websites.- UX/UI Design: Created intuitive, aesthetically pleasing designs by thoroughly analyzing user needs.- Proficient in Design Tools: Skilled in Adobe XD, Figma, and Sketch for creating accurate prototypes and mockups.- Responsive Design: Developed web designs that display optimally on different devices using media querying and flexible layout techniques.- Colour Harmony & Typography: Selected colour palettes and typography for high readability and aesthetic appeal.- Prototyping & Testing: Used prototyping and testing processes to analyze user feedback and make necessary design improvements.- Collaboration: Effective teamwork skills; constructively shared suggestions and listened to ideas from project participants.--- ProjectsGifts&Fleurs- Developed a flower and gift delivery app focusing on user interaction and aesthetics.- Analyzed competitors, identified target audience needs, and designed layouts including onboarding, home page, catalogue, favourites, cart, and user profile.- Chose a soothing pastel colour palette and legible fonts for optimal display across various phone dimensions.Mr.Cleaner- Worked in a team of three to develop a user-friendly design for a cleaning company.- Analyzed competitors and target audience; created user flow diagrams and page layouts.- Designed the main page; linked and adapted the design for different devices.- Delivered a modern, user-friendly design meeting all user needs.A Kids Place Childcare- Redesigned the website for a kindergarten, focusing on youthful, joyful aesthetics.- Created wireframes and UI designs; made CTAs clickable and developed a UI Kit.- Adapted the site for tablets and mobile devices.- Resulting design conveyed the joy of childhood with bright, playful colours and a friendly interface.---These achievements reflect a deep integration with web design theory and practice, demonstrating the ability to create effective, responsive, and aesthetically pleasing web designs while working collaboratively in a team."
14,"Certainly, here is your improved resume:---ProfileBeginner UI/UX Designer open to cooperation and collaboration. Experienced in both individual and team projects, with a strong focus on communication and active participation in completing tasks.Completed Projects1. Matcha Tea | Website- Conducted competitor analysis, wireframing, design, UI-kit creation, and adaptation.- Aimed to create a user-friendly and engaging website.2. HealthyLife | Web Service (Team Project)- Designed a web service for users to find doctors and receive quality care.- Responsibilities included competitor analysis, wireframing, design, and prototyping.3. FloverLover | Landing Page- Developed a landing page for a flower delivery service to attract customers.- Conducted competitor analysis, created a mood board, and designed the interface.- The page features delivery terms, product catalog, prices, and customer reviews.4. Tattoo Studio | Landing Page- Created a modern, stylish landing page to convey the atmosphere of a tattoo studio.- Focused on color combinations and overall design aesthetics.ObjectiveEager to engage in interesting projects, achieve financial success, and deliver convenient and beautiful website designs through thorough analysis of competitors and target audiences.---This version maintains the honesty and integrity of your original resume while enhancing clarity and structure."
15,"Graphic DesignerEtere (November 2022 - May 2023)  Responsibilities:  - Developed printed materials including booklets, business cards, flyers, etc. for promotions and exhibitions.- Created infographics, presentations, icons, logos, web banners for the company website, and banners for social media.- Designed advertisements for both online and print magazines.- Developed exhibition stands.Achievements:  - Completely updated the banner for the company's website.- Designed a stand for the NAB Show 2023 and other exhibitions.- Created infographics for all company products.Graphic DesignerOnline Store ""Profline"" (May 2021 - February 2022)  Responsibilities:  - Developed corporate branding including logo redesign.- Designed banners for social media and landing pages in Figma.- Conducted UX research including target audience analysis, needs assessment, surveys, and created UserFlows and UserMaps.- Designed business cards, flyers, etc.- Managed product photography and photo editing.- Created and edited videos and animations for banners and websites.Achievements:  - Increased clicks on banners by 25%.- Achieved a 20% increase in landing page conversion.- Added approximately 1,000 new product photos.- Enhanced the share of repeat orders through the addition of a loyalty program.Career Aspirations  - Passionate about transitioning to UI/UX design and eager to learn and grow in this field.- Desire to work in a collaborative team environment with experienced professionals.- Looking for opportunities for creativity and innovation.- Seeking support and mentorship to develop UI/UX design skills.- Strong interest in career growth and assuming greater responsibilities over time."
16,"Graphic Designer • FreelanceMar 2017 - Oct 2019- Designed logos for various brands, including a children's swimming club.- Developed sticker packs for printing and digital usage in messaging apps such as Telegram.AR Mask Creator • FreelanceAug 2019 - May 2020- Created animated and 3D AR masks for companies and bloggers on Instagram.UI/UX Designer • FreelanceAug 2021 - Present- Aimed at achieving business interests while ensuring a comfortable interface for the target audience.- Responsibilities included redesigning existing products and creating product designs from scratch.    - Created the foundation and components of the Design System, including new patterns, colors, typography, iconography.    - Conducted market and target audience research, and performed website usability analysis.    - Developed strategies to improve usability and increase conversion rates.    - Analyzed existing interfaces on various sites.    - Worked on layout prototyping, UX-writing, visual interface design, animation, and micro-interaction design."
17,"          (Optional) |  (Optional)--- ObjectivePassionate and dedicated UI/UX and Graphic Designer seeking to leverage 1 year of experience in UI/UX and 4+ years in Graphic Design to contribute to an innovative and collaborative team. Professional ExperienceUI/UX Designer  Position Duration: 1 Year- Developed user interfaces from scratch using Figma- Created User Personas, Customer Journey Maps (CJM), and User Flows based on in-depth interviews and research- Designed wireframes and prototypes- Applied Material Design and iOS Human Interface Guidelines in projects- Created adaptive versions of websites- Developed 2D animations in Adobe After EffectsGraphic Designer  Position Duration: 4+ Years- Executed various graphic design tasks and projects- Tailored designs to meet clients' needs and preferences Key Projects- Mobile App for Video Consultation with Doctors 24/7: Functioned as the UI/UX Designer, handling interface development and user experience research.- Landing Page for Online Driving School: Served as the UI/UX Designer, designing the wireframes, prototypes, and final design.- Adaptive Website for Home Quest Boxes: Acted as the UI/UX Designer, ensuring the website's responsiveness and user-centric design. Education- Advertising Education: Provided foundational skills to understand and meet customer requirements effectively. Technical Skills- Figma- Adobe After Effects- Material Design- iOS Human Interface Guidelines- User Research and Usability Testing- Wireframing and Prototyping- 2D Animation---Eager to join a forward-thinking company with supportive colleagues to continue growing professionally and create outstanding products."
18,"------ ProfileHello, everybody!  I’m a UI/UX designer specialized in designing websites, landings, and mobile apps. I can handle the full design lifecycle, from analysis to the implementation of the final product. I am both responsible and creative, and I believe I can contribute meaningfully to your team by creating engaging and user-friendly projects. I am seeking a Junior UI/UX Designer position in a company with strong corporate ethics and healthy working relationships, with the possibility of remote work.--- Project ExperienceRedesign for Mainsail Realty Company  Team Leader & Full Cycle Designer- Objective: Redesign the website to enhance functionality and visual appeal, increasing user engagement and lead generation.- Approach: Conducted competitor analysis and created wireframes.- Outcome: Developed a modern, responsive website with a clean and professional look that aligns with the company’s brand and values. Organized content logically and provided intuitive navigation.Landing Page for Flower Delivery ""Flower Lover""  Full Cycle Designer- Objective: Develop a landing page to advertise a new bouquet delivery service.- Approach: Performed competitor analysis, created moodboards, wireframes, and implemented the design.- Outcome: Designed an appealing and effective landing page.Web Service for Cleaning Services  Team Leader & Full Cycle Designer- Objective: Create a web service to facilitate hiring staff from cleaning companies.- Approach: Conducted competitor research, led team brainstorming sessions, created user personas, user flow diagrams, customer journey maps (CJM), and wireframes.- Outcome: Developed an excellent final design, leading the team through the full design cycle.---I look forward to the opportunity to contribute to your team!"
19,"UX/UI Designer ResumeSummaryPassionate and detail-oriented UX/UI designer with extensive experience in Figma, Adobe Illustrator, Adobe Photoshop, and Prototyping. Specializing in mobile, web, responsive design, and logo design. Known for creating visually stunning and user-friendly websites, I thrive in collaborative environments, have a positive attitude towards feedback, and am eager to learn and grow.Core Competencies- UX/UI Design- Mobile and Web Design- Responsive Design- Logo Design- Design Aesthetics- Prototyping- Figma- Adobe Illustrator- Adobe Photoshop- Team Collaboration- Problem Solving- Attention to DetailProfessional Experience Tattoo Salon Website Redesign- Identified issues related to customer traffic and user retention.- Conducted competitive analysis to inform redesign strategies.- Improved site hierarchy and visual appeal, resulting in enhanced user experience.Lost Pet Web Service- Developed a web service to assist owners in locating lost pets.- Enabled users to filter ads by various criteria (type, species, breed, color, etc.).- Implemented a feature to find matches between lost and found animals within a given search radius. Restaurant Table Booking Application- Created a graphical application for reserving tables in restaurants.- Included features such as layout viewing, zone and seat selection, and reservation for specific times.- Integrated additional services (high chair, holiday decorations, pet accommodations, flower vase).- Provided options to choose different types of eateries and pay bills via the app.Chemistry Education- Focused on diverse learning approaches to ensure effective educational experiences in chemistry.- Designed structured and comprehensive curricula to enhance learning outcomes.Work Preferences- Open to full-time or remote positions.- Strong ability to set and achieve goals.- Committed to optimizing existing solutions.- Excellent team player."
20,"Oksana Junior UI/UX DesignerContact Information:Phone: Email: LinkedIn: Portfolio: ---Professional Summary:I am a Junior UI/UX Designer specializing in the design of web and mobile applications. With a foundation in user-centric design, I excel at creating intuitive and aesthetically pleasing interfaces. My focus is on ensuring a seamless user experience through a clear structure, convenient navigation, and visually appealing design elements. I continually seek professional growth and welcome environments where I can further hone my skills.---Education:Successfully completed a 6-month course in UI/UX design, Web, and Mobile design at Go-IT Company.---Technical Skills:- UI/UX Design- Web Design- Mobile Design- User Research and Analysis- Wireframing and Prototyping- Visual Design- Adobe Creative Suite- Sketch- Figma---Projects:Kindergarten Website Redesign:- Redesigned an outdated kindergarten website to make it more user-friendly and attractive to young parents.- Conducted research and competitor analysis to identify successful design solutions.- Developed a modern design that meets the needs of preschool education.HOME for GUEST App:- Designed a web service for a home exchange environment, similar to couch-surfing but with additional services.- Created a user-friendly and easy-to-use website.- Ensured the design was both functional and visually appealing, facilitating user engagement.---Professional Experience:- Responsible for creating and improving site designs, focusing on usability and aesthetics.- Developed simple and clear site structures with intuitive navigation systems.- Created visual elements including fonts, backgrounds, icons, logos, animations, and banners.- Analyzed user behavior to enhance existing sites and address user needs.---Career Objective:I am looking for a company that prioritizes professional growth and offers opportunities for continuous learning and development in the field of UI/UX design."
21,"  |  |  | ---SummaryAspiring and motivated graphic and UI/UX designer with experience in logo and website design, redesign, user research, and personas. Proficient in Figma, Adobe Illustrator, and Adobe Photoshop, with a strong focus on delivering impactful and functional designs. Eager to collaborate with a professional team to enhance my skills and contribute to successful projects.Skills- Figma- Adobe Illustrator- Adobe Photoshop- Logo Design- Website Design- Redesign- User Research and Personas- Moodboards- Adaptation- Figma Smart AnimateProfessional ExperienceGraphic and UI/UX DesignerTeam Leader in Project CleanUp- Led the team in the CleanUp project to develop a web resource for cleaning services.- Created the user interface and conceptualized the design.- Oversaw the design process from analysis to adaptation.- Ensured full linking and coordination among team members.- Tools: Figma, Adobe Illustrator, Adobe PhotoshopCustom Concepts Project- Redesigned an existing tattoo studio website to improve user experience and functionality.- Updated colors and fonts, added a CTA button, enhanced the FAQ section.- Focused on creating a cohesive identity with better usability.- Tools: Figma, Adobe Illustrator, Adobe PhotoshopAnabioZ Project- Developed guidelines for a men's gift shop from scratch.- Created a logo and ensured it was adaptable across various devices and signage.- Tools: Adobe Illustrator, Adobe PhotoshopEducationProfessional GoalSeeking to join a team of professionals to learn, grow, and demonstrate a strong focus on achieving results and meeting deadlines.---References: Available upon request."
22,"            ---Objective  Junior UI/UX Designer with six months of experience, seeking to join a progressive company to create high-quality products that exceed user expectations and drive business success.---Professional Summary  I bring experience in prototyping, web design, and a solid understanding of UI/UX principles. Confident in my ability to craft appealing and intuitive interfaces, I aim to enhance user satisfaction and project success. I possess basic knowledge of mobile app development and am eager to expand my skills in this area. My practical skills in UX research further support my goal to deliver exceptional user experiences.---SkillsHard Skills:- Figma- Adobe Photoshop- Adobe Illustrator- ProtoPie- Canva- Wireframes- Prototypes- UX Principles- Design Systems- UI-Kit- Information ArchitectureSoft Skills:- Curiosity- Empathy- Creativity- Attention to Detail- Critical Thinking- Communication Skills---ExperienceApartEase  Project: Rental Apartment Web Service  - Created a user-friendly and convenient platform connecting travelers and apartment owners.- Focused on delivering a seamless experience for both parties.- Skills Utilized: Adaptive Design, UI Kit, Analysis, User Flow, MVP, CJM, Wireframes, Adobe Photoshop, Figma---Education  GoIT - Start Your Career in IT---I am eager to join a dynamic team where we can collaboratively create top-tier products that stand out in the market.---  "
